"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"1","H0AK00097",2012,"C00525261",194927
"2","H0AL00016",2012,"C00464040",188772
"3","H0AL01030",2012,"C00459495",188773
"4","H0AL02087",2012,"C00493783",192251
"5","H0AL02087",2012,"C00488874",188776
"6","H0AL02087",2012,"C00462143",188775
"7","H0AL02087",2012,"C00492884",192161
"8","H0AL05163",2012,"C00514240",194164
"9","H0AL05163",2012,"C00464149",188779
"10","H0AL05163",2012,"C00492884",192163
"11","H0AL07086",2012,"C00458976",188785
"12","H0AL07086",2012,"C00501825",193096
"13","H0AL07177",2012,"C00482059",188790
"14","H0AR01083",2012,"C00493783",192237
"15","H0AR01083",2012,"C00488874",188793
"16","H0AR01083",2012,"C00462374",188792
"17","H0AR01083",2012,"C00511519",194601
"18","H0AR01083",2012,"C00506824",193550
"19","H0AR02107",2012,"C00492884",192156
"20","H0AR02107",2012,"C00498386",192764
"21","H0AR02107",2012,"C00468116",188800
"22","H0AR03055",2012,"C00497149",192670
"23","H0AR03055",2012,"C00511030",193842
"24","H0AR03055",2012,"C00477745",188810
"25","H0AR04038",2012,"C00345710",188815
"26","H0AR04079",2012,"C00478636",188816
"27","H0AS00018",2012,"C00231092",188817
"28","H0AZ01259",2012,"C00493577",192217
"29","H0AZ01259",2012,"C00489971",188822
"30","H0AZ01259",2012,"C00489963",188821
"31","H0AZ01259",2012,"C00489583",188820
"32","H0AZ01259",2012,"C00461806",188819
"33","H0AZ01259",2012,"C00528836",195110
"34","H0AZ02141",2012,"C00474528",188827
"35","H0AZ03248",2012,"C00518381",194434
"36","H0AZ03321",2012,"C00529016",195132
"37","H0AZ03321",2012,"C00529867",195155
"38","H0AZ03321",2012,"C00474916",188829
"39","H0AZ03362",2012,"C00475863",188832
"40","H0AZ03362",2012,"C00489963",188833
"41","H0AZ03362",2012,"C00489971",188834
"42","H0AZ04501",2012,"C00485995",188840
"43","H0AZ08015",2012,"C00511402",194598
"44","H0AZ08015",2012,"C00489971",188852
"45","H0AZ08015",2012,"C00521294",194683
"46","H0AZ08015",2012,"C00460808",188850
"47","H0AZ08015",2012,"C00489583",188851
"48","H0AZ08056",2012,"C00474270",188854
"49","H0AZ08056",2012,"C00529016",195131
"50","H0AZ08056",2012,"C00529867",195156
"51","H0CA00074",2012,"C00476937",188855
"52","H0CA00082",2012,"C00479188",188856
"53","H0CA02120",2012,"C00468454",193673
"54","H0CA02120",2012,"C00509208",193715
"55","H0CA02138",2012,"C00502146",193140
"56","H0CA02138",2012,"C00473165",188859
"57","H0CA03078",2012,"C00461061",188860
"58","H0CA03078",2012,"C00519900",194593
"59","H0CA03078",2012,"C00512749",194068
"60","H0CA05073",2012,"C00478651",188865
"61","H0CA06121",2012,"C00502781",193223
"62","H0CA07103",2012,"C00503334",193253
"63","H0CA07111",2012,"C00516591",194490
"64","H0CA08069",2012,"C00465914",188866
"65","H0CA08069",2012,"C00515932",194300
"66","H0CA08077",2012,"C00471680",188867
"67","H0CA10149",2012,"C00462697",188875
"68","H0CA10149",2012,"C00525246",194920
"69","H0CA10172",2012,"C00463257",188877
"70","H0CA13093",2012,"C00481564",188883
"71","H0CA13119",2012,"C00485961",194044
"72","H0CA15148",2012,"C00462192",188887
"73","H0CA15148",2012,"C00351379",188886
"74","H0CA15171",2012,"C00458117",192826
"75","H0CA17185",2012,"C00522367",194754
"76","H0CA18050",2012,"C00466508",188894
"77","H0CA19082",2012,"C00511451",194242
"78","H0CA19132",2012,"C00493213",193190
"79","H0CA19132",2012,"C00502567",193197
"80","H0CA19173",2012,"C00520395",194628
"81","H0CA19173",2012,"C00491332",188897
"82","H0CA19173",2012,"C00473272",188896
"83","H0CA19173",2012,"C00501759",193063
"84","H0CA19173",2012,"C00502252",193148
"85","H0CA19173",2012,"C00496018",192560
"86","H0CA19173",2012,"C00523985",194838
"87","H0CA23043",2012,"C00447011",188902
"88","H0CA23043",2012,"C00520742",195221
"89","H0CA23043",2012,"C00492835",192149
"90","H0CA23068",2012,"C00517029",194357
"91","H0CA23118",2012,"C00478164",188905
"92","H0CA26087",2012,"C00483875",188911
"93","H0CA26087",2012,"C00479956",188910
"94","H0CA27085",2012,"C00343871",188913
