"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"1","H0AK00105",2020,"C00607515",229250
"2","H0AL01055",2020,"C00697789",226125
"3","H0AL01063",2020,"C00701557",227053
"4","H0AL01071",2020,"C00701409",227054
"5","H0AL01089",2020,"C00703066",227266
"6","H0AL01097",2020,"C00708867",228081
"7","H0AL01105",2020,"C00710947",228368
"8","H0AL01113",2020,"C00719351",229537
"9","H0AL01121",2020,"C00722512",230000
"10","H0AL01139",2020,"C00725069",230364
"11","H0AL02087",2020,"C00493783",222650
"12","H0AL02087",2020,"C00462143",222607
"13","H0AL02137",2020,"C00714337",228842
"14","H0AL02145",2020,"C00715698",228996
"15","H0AL02152",2020,"C00718411",229365
"16","H0AL02160",2020,"C00723478",230174
"17","H0AL02178",2020,"C00723759",230218
"18","H0AL02194",2020,"C00726109",230487
"19","H0AL02202",2020,"C00728873",230831
"20","H0AL03192",2020,"C00681452",225608
"21","H0AL05163",2020,"C00464149",222553
"22","H0AL05205",2020,"C00701375",227010
"23","H0AL06104",2020,"C00681213",225022
"24","H0AL06112",2020,"C00696765",225906
"25","H0AL07086",2020,"C00458976",222443
"26","H0AL07193",2020,"C00723601",230175
"27","H0AR01083",2020,"C00493783",222649
"28","H0AR01083",2020,"C00462374",222608
"29","H0AR02198",2020,"C00711226",228442
"30","H0AR02206",2020,"C00726943",230554
"31","H0AR03055",2020,"C00497149",222804
"32","H0AR03055",2020,"C00477745",222675
"33","H0AR03105",2020,"C00709667",228909
"34","H0AR04087",2020,"C00717439",229270
"35","H0AR04095",2020,"C00740530",232909
"36","H0AS01016",2020,"C00755843",233819
"37","H0AZ01259",2020,"C00461806",222597
"38","H0AZ01358",2020,"C00694091",225629
"39","H0AZ01366",2020,"C00707471",227935
"40","H0AZ01374",2020,"C00707976",234055
"41","H0AZ01382",2020,"C00716050",229055
"42","H0AZ01390",2020,"C00722603",230027
"43","H0AZ01408",2020,"C00722694",230055
"44","H0AZ01424",2020,"C00739862",232364
"45","H0AZ02174",2020,"C00696930",225981
"46","H0AZ02182",2020,"C00698084",226245
"47","H0AZ02216",2020,"C00708149",227993
"48","H0AZ02224",2020,"C00708388",228010
"49","H0AZ02232",2020,"C00710582",228309
"50","H0AZ02240",2020,"C00716944",229176
"51","H0AZ02257",2020,"C00717819",229310
"52","H0AZ02265",2020,"C00734087",231523
"53","H0AZ02273",2020,"C00734715",231584
"54","H0AZ02281",2020,"C00736918",231950
"55","H0AZ02299",2020,"C00738328",232179
"56","H0AZ03453",2020,"C00725333",230403
"57","H0AZ03461",2020,"C00725697",230440
"58","H0AZ04519",2020,"C00709774",233598
"59","H0AZ04527",2020,"C00717025",229177
"60","H0AZ04535",2020,"C00725689",230441
"61","H0AZ05169",2020,"C00727362",230599
"62","H0AZ05177",2020,"C00737429",232093
"63","H0AZ05185",2020,"C00748384",233382
"64","H0AZ05193",2020,"C00749440",233433
"65","H0AZ06068",2020,"C00699249",226463
"66","H0AZ06084",2020,"C00723197",230128
"67","H0AZ06092",2020,"C00725614",231330
"68","H0AZ06100",2020,"C00735175",231675
"69","H0AZ07082",2020,"C00702332",227197
"70","H0AZ07090",2020,"C00713081",228701
"71","H0AZ07108",2020,"C00738617",232237
"72","H0AZ08072",2020,"C00703124",227301
"73","H0AZ08080",2020,"C00715748",229024
"74","H0AZ09013",2020,"C00713123",228702
"75","H0AZ09021",2020,"C00723288",230148
"76","H0AZ09047",2020,"C00733675",231456
"77","H0AZ09062",2020,"C00734673",231595
"78","H0CA01171",2020,"C00696229",225796
"79","H0CA01197",2020,"C00729723",230979
"80","H0CA01205",2020,"C00729707",230963
"81","H0CA02153",2020,"C00732453",231331
