"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"1","H0AK00097",2014,"C00525261",195285
"2","H0AL02087",2014,"C00493783",195287
"3","H0AL02087",2014,"C00462143",195286
"4","H0AL05163",2014,"C00464149",195289
"5","H0AL07086",2014,"C00501825",195293
"6","H0AL07086",2014,"C00458976",195292
"7","H0AR01083",2014,"C00462374",195296
"8","H0AR01083",2014,"C00511519",195299
"9","H0AR01083",2014,"C00493783",195297
"10","H0AR01083",2014,"C00506824",195298
"11","H0AR02107",2014,"C00468116",195303
"12","H0AR03055",2014,"C00497149",195308
"13","H0AR03055",2014,"C00477745",195307
"14","H0AS00018",2014,"C00231092",195312
"15","H0AZ01259",2014,"C00489971",195315
"16","H0AZ01259",2014,"C00528836",195316
"17","H0AZ01259",2014,"C00461806",195314
"18","H0AZ01325",2014,"C00568758",201736
"19","H0AZ01325",2014,"C00562827",201167
"20","H0AZ01325",2014,"C00550012",200144
"21","H0AZ01325",2014,"C00558056",200752
"22","H0AZ01325",2014,"C00568436",201700
"23","H0AZ03321",2014,"C00529867",195321
"24","H0AZ03321",2014,"C00541508",199360
"25","H0AZ03321",2014,"C00529016",195320
"26","H0AZ03321",2014,"C00474916",195319
"27","H0AZ04501",2014,"C00559179",200841
"28","H0AZ04501",2014,"C00485995",195328
"29","H0CA03078",2014,"C00541516",199365
"30","H0CA03078",2014,"C00461061",195346
"31","H0CA03078",2014,"C00519900",195348
"32","H0CA03078",2014,"C00512749",195347
"33","H0CA08069",2014,"C00515932",195353
"34","H0CA08069",2014,"C00554337",201008
"35","H0CA08069",2014,"C00465914",199898
"36","H0CA10073",2014,"C00460162",195354
"37","H0CA10073",2014,"C00554709",200467
"38","H0CA10149",2014,"C00462697",195358
"39","H0CA10149",2014,"C00525246",195359
"40","H0CA10172",2014,"C00549030",200072
"41","H0CA10172",2014,"C00463257",195361
"42","H0CA11337",2014,"C00553289",200379
"43","H0CA11352",2014,"C00545509",199681
"44","H0CA13093",2014,"C00481564",195364
"45","H0CA15148",2014,"C00462192",195367
"46","H0CA15148",2014,"C00351379",195366
"47","H0CA15148",2014,"C00559484",200867
"48","H0CA15171",2014,"C00458117",195368
"49","H0CA17185",2014,"C00522367",195371
"50","H0CA19082",2014,"C00559419",200851
"51","H0CA19082",2014,"C00511451",195373
"52","H0CA19173",2014,"C00543975",199551
"53","H0CA19173",2014,"C00523985",195377
"54","H0CA19173",2014,"C00520395",195376
"55","H0CA19173",2014,"C00496018",195375
"56","H0CA19173",2014,"C00473272",195374
"57","H0CA19173",2014,"C00546028",199719
"58","H0CA23043",2014,"C00492835",195381
"59","H0CA23043",2014,"C00520742",195382
"60","H0CA27085",2014,"C00343871",195388
"61","H0CA27101",2014,"C00462317",195389
"62","H0CA32101",2014,"C00458125",195398
"63","H0CA33109",2014,"C00474288",195403
"64","H0CA33117",2014,"C00476523",195404
"65","H0CA48024",2014,"C00350520",195417
"66","H0CA48024",2014,"C00493528",195418
"67","H0CA49055",2014,"C00344671",195419
"68","H0CO04122",2014,"C00541383",199356
"69","H0CO04122",2014,"C00488130",195426
"70","H0CO04122",2014,"C00523985",195429
"71","H0CO04122",2014,"C00506824",195428
"72","H0CT03072",2014,"C00238865",195434
"73","H0CT04146",2014,"C00549527",200118
"74","H0CT05127",2014,"C00462663",195441
"75","H0CT05150",2014,"C00493395",195442
"76","H0DC00058",2014,"C00244335",195443
"77","H0DC00215",2014,"C00486746",195445
"78","H0DC00215",2014,"C00508192",195446
"79","H0DC00215",2014,"C00552224",200294
"80","H0DE01017",2014,"C00460899",195449
"81","H0DE01025",2014,"C00473421",195450
"82","H0DE01025",2014,"C00548040",199958
"83","H0FL00023",2014,"C00466060",195452
"84","H0FL02110",2014,"C00561951",201089
"85","H0FL02110",2014,"C00529024",195456
"86","H0FL02110",2014,"C00468959",195454
"87","H0FL02110",2014,"C00493783",195455
"88","H0FL02110",2014,"C00543975",199554
"89","H0FL02136",2014,"C00545491",199685
"90","H0FL04033",2014,"C00346767",195463
"91","H0FL04066",2014,"C00560391",200932
"92","H0FL04066",2014,"C00352849",195464
"93","H0FL04116",2014,"C00566687",201538
"94","H0FL05139",2014,"C00482281",195465
"95","H0FL08208",2014,"C00571109",201850
"96","H0FL08208",2014,"C00481911",195475
"97","H0FL08208",2014,"C00506824",195476
"98","H0FL08208",2014,"C00527697",195477
"99","H0FL12101",2014,"C00459461",195483
"100","H0FL12101",2014,"C00527697",195484
"101","H0FL17068",2014,"C00460055",195492
"102","H0FL18025",2014,"C00280537",195498
"103","H0FL19080",2014,"C00469163",195501
"104","H0FL19080",2014,"C00501825",195502
"105","H0FL19080",2014,"C00530899",195503
"106","H0FL20070",2014,"C00474478",195505
"107","H0FL24171",2014,"C00492330",195515
"108","H0FL25038",2014,"C00477356",195518
"109","H0GA07125",2014,"C00544445",199599
"110","H0GA07125",2014,"C00569079",201754
"111","H0GA07133",2014,"C00482307",195524
"112","H0GA08081",2014,"C00553214",200380
"113","H0GA08099",2014,"C00544916",199637
"114","H0GA08099",2014,"C00482737",195529
"115","H0GA08099",2014,"C00544510",199600
"116","H0GA08099",2014,"C00493783",195530
"117","H0GA09030",2014,"C00567305",201584
"118","H0GA09030",2014,"C00462556",195531
"119","H0GA09030",2014,"C00501866",195532
"120","H0GA09030",2014,"C00548347",199993
"121","H0GA13099",2014,"C00483362",195541
"122","H0HI01157",2014,"C00568436",201702
"123","H0HI01157",2014,"C00441451",195543
"124","H0HI01157",2014,"C00558833",200814
"125","H0IA02099",2014,"C00542316",199403
"126","H0IA03139",2014,"C00471227",195554
"127","H0IA03139",2014,"C00556183",200600
"128","H0ID01253",2014,"C00470948",195559
"129","H0ID01253",2014,"C00494252",195560
"130","H0ID01253",2014,"C00543348",199457
"131","H0IL05096",2014,"C00457556",195571
"132","H0IL05096",2014,"C00501825",195572
"133","H0IL10302",2014,"C00465971",195589
"134","H0IL10302",2014,"C00567354",201586
"135","H0IL10302",2014,"C00568287",201689
"136","H0IL10302",2014,"C00563635",201225
"137","H0IL10302",2014,"C00528851",195593
"138","H0IL10302",2014,"C00527549",195592
"139","H0IL10302",2014,"C00514364",195591
"140","H0IL10302",2014,"C00506824",195590
"141","H0IL11052",2014,"C00458877",195597
"142","H0IL11052",2014,"C00556829",200668
"143","H0IL14080",2014,"C00467522",195599
"144","H0IL14080",2014,"C00569004",201760
"145","H0IL14080",2014,"C00527549",195601
"146","H0IL14080",2014,"C00493783",195600
"147","H0IL17059",2014,"C00565457",201396
"148","H0IL17059",2014,"C00527549",195610
"149","H0IL17059",2014,"C00528851",195611
"150","H0IL17059",2014,"C00459354",195606
"151","H0IL17059",2014,"C00514364",195609
"152","H0IL17059",2014,"C00495077",195608
"153","H0IL17059",2014,"C00493783",195607
"154","H0IL19048",2014,"C00481226",195613
"155","H0IN02125",2014,"C00547430",199878
"156","H0IN02125",2014,"C00564500",201305
"157","H0IN02125",2014,"C00460667",195616
"158","H0IN02190",2014,"C00565945",201453
"159","H0IN02190",2014,"C00565093",201358
"160","H0IN02190",2014,"C00521294",195618
"161","H0IN02190",2014,"C00529644",195619
"162","H0IN02190",2014,"C00543975",199555
"163","H0IN02190",2014,"C00468579",195617
"164","H0IN03198",2014,"C00493783",195622
"165","H0IN03198",2014,"C00523985",195623
"166","H0IN03198",2014,"C00484683",195621
"167","H0IN03198",2014,"C00544916",199633
"168","H0IN03198",2014,"C00544148",199577
"169","H0IN03198",2014,"C00556779",200664
"170","H0IN04170",2014,"C00476192",195624
"171","H0IN08114",2014,"C00544148",199576
"172","H0IN08114",2014,"C00549345",200104
"173","H0IN08114",2014,"C00468256",195631
"174","H0IN09070",2014,"C00459255",195634
"175","H0KS03137",2014,"C00472365",195640
"176","H0KS03137",2014,"C00559328",200861
"177","H0KS04051",2014,"C00460402",195645
"178","H0KY05015",2014,"C00116632",195649
"179","H0KY06104",2014,"C00524728",195653
"180","H0KY06104",2014,"C00527549",195654
"181","H0KY06104",2014,"C00539940",195655
"182","H0KY06104",2014,"C00547125",199855
