"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"144","H2AZ08102",2018,"C00573477",212988
"145","H2AZ08102",2018,"C00573469",212987
"146","H2AZ08102",2018,"C00512236",212985
"147","H2AZ09019",2018,"C00610709",212990
"148","H2AZ09035",2018,"C00510958",212991
"149","H2CA00096",2018,"C00495507",212993
"150","H2CA00104",2018,"C00498212",212994
"151","H2CA00120",2018,"C00528547",212996
"152","H2CA00120",2018,"C00513077",212995
"153","H2CA02142",2018,"C00509422",213000
"154","H2CA06259",2018,"C00536680",213003
"155","H2CA08164",2018,"C00512202",213005
"156","H2CA15094",2018,"C00502294",213009
"157","H2CA20094",2018,"C00573477",213013
"158","H2CA20094",2018,"C00499392",213011
"159","H2CA20094",2018,"C00562975",213012
"160","H2CA28113",2018,"C00498873",213022
"161","H2CA30143",2018,"C00264101",213024
"162","H2CA30143",2018,"C00596932",213025
"163","H2CA31125",2018,"C00510461",213026
"164","H2CA31125",2018,"C00561761",213027
"165","H2CA33048",2018,"C00259143",213028
"166","H2CA35100",2018,"C00497859",213029
"167","H2CA36439",2018,"C00525402",213036
"168","H2CA36439",2018,"C00502575",213035
"169","H2CA37023",2018,"C00257337",213037
"170","H2CA39078",2018,"C00384057",213038
"171","H2CA39136",2018,"C00665695",219583
"172","H2CA43245",2018,"C00498667",213041
"173","H2CA46123",2018,"C00516443",213043
"174","H2CA48095",2018,"C00516922",213045
"175","H2CA50026",2018,"C00497321",213048
"176","H2CA52089",2018,"C00503110",213051
"177","H2CA52089",2018,"C00554089",213052
"178","H2CT02112",2018,"C00410233",213061
"179","H2CT05131",2018,"C00494203",213063
"180","H2CT05131",2018,"C00529784",213064
"181","H2DC00096",2018,"C00686089",221833
"182","H2FL00292",2018,"C00511568",213068
"183","H2FL06109",2018,"C00494583",213074
"184","H2FL08063",2018,"C00590489",220148
"185","H2FL13139",2018,"C00374751",213079
"186","H2FL13139",2018,"C00392183",213080
"187","H2FL13139",2018,"C00447474",213081
"188","H2FL14053",2018,"C00494856",213082
"189","H2FL14160",2018,"C00506998",213084
"190","H2FL14160",2018,"C00590026",213085
"191","H2FL20043",2018,"C00501205",213090
"192","H2FL23021",2018,"C00269837",213098
"193","H2FL25018",2018,"C00376087",213100
"194","H2GA02031",2018,"C00266940",213104
"195","H2GA09150",2018,"C00502039",213106
"196","H2GA12121",2018,"C00504019",213110
"197","H2GA13012",2018,"C00369801",213111
"198","H2GU00033",2018,"C00369686",213113
"199","H2HI02110",2018,"C00468413",213114
"200","H2HI02128",2018,"C00680918",221517
"201","H2HI02508",2018,"C00555078",213116
"202","H2HI02508",2018,"C00497396",213115
"203","H2IA01055",2018,"C00543926",213117
"204","H2IA05072",2018,"C00373563",213118
"205","H2IL01042",2018,"C00257121",213120
"206","H2IL02172",2018,"C00539866",213121
"207","H2IL08039",2018,"C00254581",213126
"208","H2IL10068",2018,"C00495952",213129
"209","H2IL10092",2018,"C00504001",213130
"210","H2IL10092",2018,"C00656272",218091
"211","H2IL13120",2018,"C00521948",213133
"212","H2IL17071",2018,"C00498568",213137
"213","H2IL20042",2018,"C00258855",213138
"214","H2IN03160",2018,"C00676346",220502
"215","H2IN03160",2018,"C00560235",213142
"216","H2IN05082",2018,"C00624841",213146
"217","H2IN05082",2018,"C00547430",213145
"218","H2IN05082",2018,"C00500207",213144
"219","H2IN06189",2018,"C00497479",213149
"220","H2IN07096",2018,"C00672279",219904
"221","H2KY04121",2018,"C00509729",213155
"222","H2MA04073",2018,"C00512970",213162
