"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"1","H0AL02087",2016,"C00462143",201861
"2","H0AL02087",2016,"C00493783",201862
"3","H0AL05163",2016,"C00464149",201864
"4","H0AL07086",2016,"C00458976",201866
"5","H0AR01083",2016,"C00462374",201869
"6","H0AR01083",2016,"C00493783",201870
"7","H0AR03055",2016,"C00477745",201878
"8","H0AR03055",2016,"C00497149",201879
"9","H0AZ01259",2016,"C00461806",201882
"10","H0AZ01259",2016,"C00489971",201883
"11","H0AZ01259",2016,"C00528836",201884
"12","H0CA03078",2016,"C00519900",201904
"13","H0CA03078",2016,"C00461061",201903
"14","H0CA10073",2016,"C00460162",201910
"15","H0CA10073",2016,"C00554709",201911
"16","H0CA10149",2016,"C00462697",201914
"17","H0CA11337",2016,"C00613083",211035
"18","H0CA11337",2016,"C00553289",201919
"19","H0CA15148",2016,"C00351379",201923
"20","H0CA19173",2016,"C00473272",201930
"21","H0CA19173",2016,"C00496018",201931
"22","H0CA27085",2016,"C00343871",201939
"23","H0CA32101",2016,"C00458125",201948
"24","H0CA33117",2016,"C00476523",201954
"25","H0CA48024",2016,"C00493528",201965
"26","H0CA48024",2016,"C00350520",201964
"27","H0CA49055",2016,"C00344671",201966
"28","H0CT02140",2016,"C00589713",210150
"29","H0CT03072",2016,"C00238865",201975
"30","H0CT05127",2016,"C00462663",201983
"31","H0DC00058",2016,"C00244335",201985
"32","H0DE00068",2016,"C00455006",201989
"33","H0DE01017",2016,"C00460899",201991
"34","H0DE01025",2016,"C00548040",201992
"35","H0FL02086",2016,"C00460261",201995
"36","H0FL04033",2016,"C00346767",202006
"37","H0FL04066",2016,"C00573451",209161
"38","H0FL04066",2016,"C00352849",202007
"39","H0FL05139",2016,"C00482281",202009
"40","H0FL08042",2016,"C00614818",211193
"41","H0FL08208",2016,"C00571109",202017
"42","H0FL08208",2016,"C00481911",202016
"43","H0FL12101",2016,"C00459461",202022
"44","H0FL17068",2016,"C00460055",202027
"45","H0FL18025",2016,"C00280537",202032
"46","H0FL19080",2016,"C00469163",202034
"47","H0FL24049",2016,"C00463877",202037
"48","H0GA04106",2016,"C00482075",202049
"49","H0GA04106",2016,"C00615021",211179
"50","H0GA07125",2016,"C00544445",202050
"51","H0GA07125",2016,"C00569079",202051
"52","H0GA07133",2016,"C00482307",202052
"53","H0GA08065",2016,"C00611582",210951
"54","H0GA08099",2016,"C00544510",202059
"55","H0GA08099",2016,"C00482737",202057
"56","H0GA08099",2016,"C00493783",202058
"57","H0GA09030",2016,"C00501866",202061
"58","H0GA09030",2016,"C00462556",202060
"59","H0GA13032",2016,"C00476457",211140
"60","H0GA13099",2016,"C00483362",202069
"61","H0ID01253",2016,"C00470948",202083
"62","H0IL01152",2016,"C00511345",202090
"63","H0IL05096",2016,"C00457556",202091
"64","H0IL08033",2016,"C00583567",210692
"65","H0IL08108",2016,"C00587634",210005
"66","H0IL10302",2016,"C00571505",209064
"67","H0IL10302",2016,"C00573477",209152
"68","H0IL10302",2016,"C00568287",202109
"69","H0IL10302",2016,"C00528851",202108
"70","H0IL10302",2016,"C00514364",202107
"71","H0IL10302",2016,"C00465971",202106
"72","H0IL11052",2016,"C00572131",209102
"73","H0IL11052",2016,"C00458877",202110
"74","H0IL14080",2016,"C00610501",210866
"75","H0IL14080",2016,"C00467522",202111
"76","H0IL14080",2016,"C00493783",202112
"77","H0IN02125",2016,"C00564500",202124
"78","H0IN02125",2016,"C00547430",202123
"79","H0IN02125",2016,"C00460667",202122
"80","H0IN02190",2016,"C00468579",202125
"81","H0IN02190",2016,"C00565093",202126
"82","H0IN02190",2016,"C00565945",202127
"83","H0IN03198",2016,"C00493783",202130
"84","H0IN04170",2016,"C00476192",202131
"85","H0IN08114",2016,"C00468256",202134
"86","H0IN08114",2016,"C00624841",212185
"87","H0KS03137",2016,"C00472365",202142
"88","H0KS03137",2016,"C00559328",202143
"89","H0KS04051",2016,"C00460402",202147
"90","H0KY05015",2016,"C00116632",202151
"91","H0KY06104",2016,"C00467571",202153
"92","H0KY06104",2016,"C00547125",202154
"93","H0KY06104",2016,"C00559328",202155
"94","H0LA01087",2016,"C00570952",202158
"95","H0LA01087",2016,"C00394957",202156
"96","H0LA01087",2016,"C00568162",202157
"97","H0MA09027",2016,"C00612382",210977
"98","H0MA10082",2016,"C00479063",202174
"99","H0MI01088",2016,"C00528851",202188
"100","H0MI01088",2016,"C00476325",202187
"101","H0MI01104",2016,"C00607820",210768
"102","H0MI02094",2016,"C00580043",209544
"103","H0MI02094",2016,"C00572347",209110
"104","H0MI02094",2016,"C00589945",210165
"105","H0MI02094",2016,"C00459297",202193
"106","H0MI03126",2016,"C00476291",202197
"107","H0MN01045",2016,"C00550707",202217
"108","H0MN04049",2016,"C00354688",202219
"109","H0MN04163",2016,"C00486894",202220
"110","H0MO01066",2016,"C00346080",202226
"111","H0MO02213",2016,"C00567115",202231
"112","H0MO04086",2016,"C00464602",202233
"113","H0MO04086",2016,"C00493783",202234
"114","H0MO06073",2016,"C00588822",210081
"115","H0MO06073",2016,"C00359034",202236
"116","H0MO06172",2016,"C00615443",211215
"117","H0MO07113",2016,"C00610501",210864
"118","H0MO07113",2016,"C00624841",212184
"119","H0MO07113",2016,"C00460063",202237
"120","H0MS01043",2016,"C00464487",202246
"121","H0MS01043",2016,"C00536623",202247
"122","H0MS04120",2016,"C00477323",202252
"123","H0NC01036",2016,"C00602979",211017
"124","H0NC02059",2016,"C00493783",202257
"125","H0NC02059",2016,"C00471896",202256
"126","H0NC02059",2016,"C00572131",209105
"127","H0NC02059",2016,"C00575068",209247
"128","H0NC04147",2016,"C00576983",209382
"129","H0NC08163",2016,"C00515213",202262
"130","H0NC08163",2016,"C00597112",210439
"131","H0NC10177",2016,"C00478933",202267
"132","H0NC10177",2016,"C00610444",210855
"133","H0ND01026",2016,"C00565861",202275
"134","H0ND01026",2016,"C00504704",202274
"135","H0NH01217",2016,"C00573477",209153
"136","H0NH01217",2016,"C00461350",202279
"137","H0NH01217",2016,"C00571505",209066
"138","H0NH01225",2016,"C00473538",202280
"139","H0NH02181",2016,"C00567321",202286
"140","H0NH02181",2016,"C00526210",202285
"141","H0NH02181",2016,"C00462861",202283
"142","H0NH02181",2016,"C00490458",202284
"143","H0NV03058",2016,"C00468421",202311
"144","H0NY02085",2016,"C00500736",202316
"145","H0NY02085",2016,"C00358952",202315
"146","H0NY02085",2016,"C00522573",202317
"147","H0NY04099",2016,"C00484774",202322
"148","H0NY18065",2016,"C00240986",202332
"149","H0NY20095",2016,"C00493783",202339
"150","H0NY20095",2016,"C00528851",202340
"151","H0NY20095",2016,"C00558577",202341
"152","H0NY20095",2016,"C00566216",202342
"153","H0NY20095",2016,"C00477984",202338
"154","H0NY29054",2016,"C00566216",202359
"155","H0NY29054",2016,"C00464032",202356
"156","H0NY29054",2016,"C00517896",202357
"157","H0NY29054",2016,"C00558577",202358
"158","H0NY29054",2016,"C00571505",209065
"159","H0OH06189",2016,"C00476820",202364
"160","H0OH08029",2016,"C00478354",202370
"161","H0OH08029",2016,"C00237198",202369
"162","H0OH12062",2016,"C00347492",202371
"163","H0OH15099",2016,"C00565721",202377
"164","H0OH16097",2016,"C00615393",211201
"165","H0OH16097",2016,"C00466359",202379
"166","H0OH16097",2016,"C00528851",202380
"167","H0OH18077",2016,"C00466516",202382
"168","H0OH18077",2016,"C00493783",202383
"169","H0OK05155",2016,"C00600890",210489
"170","H0OR04081",2016,"C00481341",202391
"171","H0PA03271",2016,"C00578716",209468
"172","H0PA03271",2016,"C00474189",202396
"173","H0PA04220",2016,"C00608885",210721
"174","H0PA04220",2016,"C00497115",202400
"175","H0PA04220",2016,"C00467530",202399
"176","H0PA06076",2016,"C00554899",202403
"177","H0PA06118",2016,"C00472779",202406
"178","H0PA07082",2016,"C00466870",202409
"179","H0PA07082",2016,"C00571505",209060
"180","H0PA10078",2016,"C00475145",202414
"181","H0RI01073",2016,"C00476564",202429
"182","H0RI02139",2016,"C00344697",202431
"183","H0SC03077",2016,"C00460550",202440
"184","H0SC04257",2016,"C00462523",202443
"185","H0SC05031",2016,"C00471292",202445
"186","H0SD00054",2016,"C00476853",202446
"187","H0SD00054",2016,"C00571505",209061
"188","H0TN03254",2016,"C00461822",202447
"189","H0TN04195",2016,"C00464073",202452
"190","H0TN04195",2016,"C00493783",202453
"191","H0TN04211",2016,"C00475541",202454
"192","H0TN06257",2016,"C00517896",202463
"193","H0TN06257",2016,"C00472878",202462
"194","H0TN08246",2016,"C00466854",202468
"195","H0TN08246",2016,"C00493783",202469
"196","H0TX04136",2016,"C00473868",202478
"197","H0TX06065",2016,"C00552752",202481
"198","H0TX07055",2016,"C00343236",202482
"199","H0TX17104",2016,"C00472241",202493
"200","H0TX20090",2016,"C00508622",202497
"201","H0TX23086",2016,"C00573477",209154
"202","H0TX23086",2016,"C00545467",202501
"203","H0TX27061",2016,"C00473736",202503
"204","H0TX27061",2016,"C00563676",202504
"205","H0VA02084",2016,"C00570713",202511
"206","H0VA02084",2016,"C00463687",202510
"207","H0VA02118",2016,"C00468264",202513
"208","H0VA02118",2016,"C00608703",210715
"209","H0VA05095",2016,"C00468405",202514
"210","H0VA05111",2016,"C00614867",211192
"211","H0VA05111",2016,"C00471136",202515
"212","H0VA09055",2016,"C00477240",202518
"213","H0VA09055",2016,"C00624841",212186
"214","H0VA10129",2016,"C00589903",210425
"215","H0VA10129",2016,"C00554600",202520
"216","H0WA02080",2016,"C00345546",202524
"217","H0WA03161",2016,"C00472159",202527
"218","H0WA03187",2016,"C00472704",202528
"219","H0WA08046",2016,"C00571893",209088
"220","H0WA08046",2016,"C00610709",210874
"221","H0WA08046",2016,"C00459099",202534
"222","H0WI07051",2016,"C00464339",202543
"223","H0WI07051",2016,"C00544312",202544
"224","H0WI08075",2016,"C00493783",202547
"225","H0WI08075",2016,"C00499202",202548
"226","H0WI08075",2016,"C00463620",202546
"227","H0WV01072",2016,"C00473132",202552
"228","H0WV02104",2016,"C00608737",210755
"229","H2AL03032",2016,"C00367862",202557
"230","H2AL03032",2016,"C00548487",202558
"231","H2AL03032",2016,"C00610055",210840
"232","H2AZ04127",2016,"C00588673",210085
"233","H2AZ04143",2016,"C00605741",210606
"234","H2AZ04143",2016,"C00512319",202579
"235","H2AZ05132",2016,"C00500199",202582
"236","H2AZ07070",2016,"C00374058",202586
"237","H2AZ07161",2016,"C00545731",202587
"238","H2AZ08102",2016,"C00512236",202593
"239","H2AZ08102",2016,"C00558361",202594
"240","H2AZ08102",2016,"C00567677",202595
"241","H2AZ08102",2016,"C00568048",202596
"242","H2AZ08102",2016,"C00568311",202597
